
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
40:B0:76:36:E9:90, 2021-06-29 23:03:46, 2021-06-29 23:03:46,  7, 195, WPA2 WPA, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,   7, 2.4Mace, 
C0:56:27:29:CC:65, 2021-06-29 23:03:29, 2021-06-29 23:03:29,  8, 130, WPA2 WPA, CCMP TKIP, PSK, -86,        0,        0,   0.  0.  0.  0,   6, 172-52, 
22:3B:F3:7F:1F:6D, 2021-06-29 23:03:23, 2021-06-29 23:03:38,  5, 195, WPA2, CCMP, PSK, -85,        3,        0,   0.  0.  0.  0,   0, , 
88:D2:74:AA:A5:F8, 2021-06-29 23:03:55, 2021-06-29 23:03:55,  1, 195, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   9, Allegonda, 
64:66:B3:DD:1A:10, 2021-06-29 23:03:27, 2021-06-29 23:03:49,  6, 135, WPA2 WPA, CCMP, PSK, -88,        3,        0,   0.  0.  0.  0,  14, TP-LINK_DD1A10, 
52:D4:F7:1C:C9:50, 2021-06-29 23:03:22, 2021-06-29 23:03:58,  3, 270, WPA2, CCMP TKIP, PSK, -87,        8,        0,   0.  0.  0.  0,  11, TP-Link_313, 
0A:8D:DB:94:92:C8, 2021-06-29 23:03:22, 2021-06-29 23:04:00,  1, 360, WPA2, CCMP, PSK, -86,        3,        0,   0.  0.  0.  0,  12, CKE-Docenten, 
50:D4:F7:1C:C9:50, 2021-06-29 23:03:22, 2021-06-29 23:03:54,  3, 270, WPA2, CCMP, PSK, -86,        1,        1,   0.  0.  0.  0,  19, Winternet is coming, 
C0:56:27:29:CB:B9, 2021-06-29 23:03:41, 2021-06-29 23:04:06,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -86,        3,        1,   0.  0.  0.  0,  11, Wifi 176-54, 
B4:75:0E:E2:0A:CE, 2021-06-29 23:03:22, 2021-06-29 23:04:02,  1, 130, OPN, ,   , -86,       13,        0,   0.  0.  0.  0,  13, Wjubyuz-guest, 
F8:E9:03:BD:75:94, 2021-06-29 23:03:24, 2021-06-29 23:04:09,  1, 195, WPA2, CCMP, PSK, -84,       60,        4,   0.  0.  0.  0,   9, NanBao2.4, 
84:D8:1B:F9:C4:27, 2021-06-29 23:03:38, 2021-06-29 23:04:06, 10, 405, WPA2, CCMP, PSK, -85,        5,        0,   0.  0.  0.  0,   4, TARA, 
C0:56:27:29:CB:BA, 2021-06-29 23:03:43, 2021-06-29 23:04:07,  1, 130, OPN, ,   , -85,        7,        0,   0.  0.  0.  0,  20, Wifi 176-54-invitado, 
68:FF:7B:AC:30:2A, 2021-06-29 23:03:41, 2021-06-29 23:03:56,  5, 405, WPA2, CCMP TKIP, PSK, -85,        3,        0,   0.  0.  0.  0,  12, TP-Link_302A, 
50:C7:BF:88:39:4C, 2021-06-29 23:03:42, 2021-06-29 23:04:07,  6, 195, WPA2 WPA, CCMP TKIP, PSK, -85,        5,        0,   0.  0.  0.  0,  12, TP-LINK_394C, 
96:D8:1B:F9:C4:27, 2021-06-29 23:03:27, 2021-06-29 23:03:59, 10, 405, WPA2, CCMP, PSK, -85,       10,        0,   0.  0.  0.  0,   0, , 
B4:75:0E:E2:0A:CD, 2021-06-29 23:03:21, 2021-06-29 23:04:07,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -85,       21,        0,   0.  0.  0.  0,   7, Wjubyuz, 
32:8D:DB:94:92:C8, 2021-06-29 23:03:39, 2021-06-29 23:04:07,  1, 324, WPA2, CCMP, MGT, -85,        4,        0,   0.  0.  0.  0,   0, , 
48:F8:B3:18:79:F6, 2021-06-29 23:03:24, 2021-06-29 23:04:07,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -85,       13,        0,   0.  0.  0.  0,  11, WiFi 176-24, 
D8:0D:17:47:DC:C7, 2021-06-29 23:03:22, 2021-06-29 23:04:07,  1,  65, WPA2, CCMP, PSK, -84,       48,        0,   0.  0.  0.  0,   8, , 
14:59:C0:CF:3F:AD, 2021-06-29 23:03:21, 2021-06-29 23:03:50, 13, 270, WPA2, CCMP, PSK, -84,        3,        0,   0.  0.  0.  0,   5, Ruben, 
1C:3B:F3:7F:1F:6D, 2021-06-29 23:03:31, 2021-06-29 23:03:56,  5, 195, WPA2, CCMP TKIP, PSK, -84,        5,        0,   0.  0.  0.  0,  12, TP-Link_1F6D, 
B0:4E:26:4B:26:31, 2021-06-29 23:03:24, 2021-06-29 23:04:07, 11, 270, WPA2, CCMP, PSK, -84,       18,        0,   0.  0.  0.  0,  12, TP-Link_2631, 
0C:8D:DB:94:92:C8, 2021-06-29 23:04:06, 2021-06-29 23:04:06,  1, 360, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,   0, , 
06:8D:DB:94:92:C8, 2021-06-29 23:03:27, 2021-06-29 23:04:07,  1, 360, OPN, ,   , -83,        2,        0,   0.  0.  0.  0,  10, CKE-Guests, 
40:3F:8C:A0:7D:33, 2021-06-29 23:03:45, 2021-06-29 23:04:07,  6, 360, WPA2 WPA, CCMP TKIP, PSK, -83,        7,        1,   0.  0.  0.  0,  12, desalegnhome, 
8C:A6:DF:46:E4:B8, 2021-06-29 23:03:21, 2021-06-29 23:04:08,  1, 405, WPA2 WPA, CCMP, PSK, -83,       43,        1,   0.  0.  0.  0,  12, TP-LINK_E4B8, 
50:64:2B:4F:0F:24, 2021-06-29 23:03:22, 2021-06-29 23:04:05,  2, 130, WPA2, CCMP TKIP, PSK, -83,       18,        1,   0.  0.  0.  0,   4, none, 
68:FF:7B:4D:97:2E, 2021-06-29 23:03:27, 2021-06-29 23:03:49, 11, 270, WPA2, CCMP, PSK, -83,       10,        0,   0.  0.  0.  0,  12, TP-Link_972E, 
50:D4:F7:68:28:6D, 2021-06-29 23:03:27, 2021-06-29 23:04:06, 10, 195, WPA2 WPA, CCMP TKIP, PSK, -83,       13,        0,   0.  0.  0.  0,  12, TP-Link_272C, 
84:D8:1B:5F:B0:E2, 2021-06-29 23:03:22, 2021-06-29 23:03:58,  8, 270, WPA2, CCMP, PSK, -83,        9,        0,   0.  0.  0.  0,  11, TPLINK-1750, 
1C:87:2C:6A:27:90, 2021-06-29 23:03:23, 2021-06-29 23:04:06,  9, 195, WPA2, CCMP, PSK, -83,       16,        0,   0.  0.  0.  0,   8, Sina_net, 
4C:09:D4:FC:8B:5B, 2021-06-29 23:03:22, 2021-06-29 23:04:08,  8, 130, WPA2, CCMP, PSK, -82,        3,        0,   0.  0.  0.  0,  13, VGV7519FC8B5B, 
52:D4:F7:68:28:6D, 2021-06-29 23:03:27, 2021-06-29 23:04:07, 10, 195, WPA2, CCMP, PSK, -82,       10,        0,   0.  0.  0.  0,  18, Oehoe 16 woonkamer, 
CC:40:D0:97:36:18, 2021-06-29 23:03:22, 2021-06-29 23:04:08,  1, 130, WPA2, CCMP, PSK, -82,      112,        0,   0.  0.  0.  0,   6, Farofa, 
9C:D6:43:C1:AD:3C, 2021-06-29 23:03:23, 2021-06-29 23:04:06,  9, 195, WPA2 WPA, CCMP TKIP, PSK, -82,       13,        2,   0.  0.  0.  0,   9, MandM 5.8, 
0C:9D:92:B0:0B:80, 2021-06-29 23:03:21, 2021-06-29 23:04:08, 13, 130, WPA2, CCMP, PSK, -82,       19,        1,   0.  0.  0.  0,   6, waifai, 
0C:8D:DB:94:92:A8, 2021-06-29 23:03:24, 2021-06-29 23:04:07, 11, 360, WPA2, CCMP, PSK, -82,       18,        0,   0.  0.  0.  0,   0, , 
8A:D8:1B:5F:B0:E2, 2021-06-29 23:03:25, 2021-06-29 23:04:08,  8, 270, WPA2, CCMP, PSK, -82,       11,        0,   0.  0.  0.  0,   0, , 
78:D2:94:6C:15:68, 2021-06-29 23:03:21, 2021-06-29 23:04:08, 13, 130, WPA2, CCMP, PSK, -81,       18,        0,   0.  0.  0.  0,  10, Wifi-Lotte, 
C4:E9:84:6D:7C:BE, 2021-06-29 23:03:24, 2021-06-29 23:04:07, 11, 405, WPA2, CCMP, PSK, -80,       16,        0,   0.  0.  0.  0,  12, TP-LINK_7CBE, 
06:8D:DB:94:92:A8, 2021-06-29 23:03:24, 2021-06-29 23:04:07, 11, 360, OPN, ,   , -80,       23,        0,   0.  0.  0.  0,  10, CKE-Guests, 
F4:F2:6D:F9:49:48, 2021-06-29 23:03:23, 2021-06-29 23:04:06,  4, 130, WPA2, CCMP, PSK, -80,       22,        7,   0.  0.  0.  0,  16, Putins safehouse, 
0A:8D:DB:94:92:A8, 2021-06-29 23:03:24, 2021-06-29 23:04:03, 11, 360, WPA2, CCMP, PSK, -80,       19,        0,   0.  0.  0.  0,  12, CKE-Docenten, 
6C:59:40:EC:0B:88, 2021-06-29 23:03:21, 2021-06-29 23:04:08, 13, 270, WPA2, CCMP, PSK, -79,       27,        0,   0.  0.  0.  0,  12, MERCURY_0B88, 
AC:84:C6:2C:A5:BA, 2021-06-29 23:03:23, 2021-06-29 23:04:06,  4, 270, WPA2, CCMP, PSK, -78,       17,        0,   0.  0.  0.  0,  12, TP-Link_A5BA, 
32:8D:DB:94:92:A8, 2021-06-29 23:03:24, 2021-06-29 23:04:07, 11, 324, WPA2, CCMP, MGT, -78,       22,        0,   0.  0.  0.  0,   0, , 
0A:8D:DB:94:87:78, 2021-06-29 23:03:24, 2021-06-29 23:04:07,  6, 360, WPA2, CCMP, PSK, -78,       22,        0,   0.  0.  0.  0,  12, CKE-Docenten, 
24:F5:A2:18:C0:3B, 2021-06-29 23:03:24, 2021-06-29 23:04:07, 11, 130, OPN, ,   , -77,       29,        0,   0.  0.  0.  0,  10, Tommy-gast, 
24:4B:FE:BE:0D:90, 2021-06-29 23:03:21, 2021-06-29 23:04:08,  7, 195, WPA2, CCMP, PSK, -76,       22,        3,   0.  0.  0.  0,   7, AsusGPN, 
74:DA:88:9B:11:B6, 2021-06-29 23:03:22, 2021-06-29 23:04:09,  2, 270, WPA2, CCMP, PSK, -76,       37,        0,   0.  0.  0.  0,  12, TP-Link_11B6, 
24:F5:A2:18:C0:3A, 2021-06-29 23:03:24, 2021-06-29 23:04:07, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -76,       29,        0,   0.  0.  0.  0,   5, Tommy, 
06:8D:DB:94:87:78, 2021-06-29 23:03:24, 2021-06-29 23:04:07,  6, 360, OPN, ,   , -76,       27,        0,   0.  0.  0.  0,  10, CKE-Guests, 
D8:0D:17:F2:1B:B0, 2021-06-29 23:03:23, 2021-06-29 23:04:06,  4, 270, WPA2, CCMP, PSK, -76,       18,        0,   0.  0.  0.  0,  12, TP-Link_1BB0, 
